"time" "obs"
"66" 1969.95291476408 0.5
"67" 1969.95708143075 0.5
"68" 1969.95736681887 0.91
"69" 1969.95753614916 0.91
"70" 1969.95812975647 1.19
"71" 1969.95876141553 1.94
"72" 1969.95929033486 2.08
"73" 1969.96078196347 2.08
"74" 1969.96154680365 1.81
"75" 1969.96174657534 1.53
"76" 1969.96242579909 1.48
"77" 1969.96253614916 1.41
"78" 1969.96546993912 1.48
"79" 1969.96553272451 1.53
"80" 1969.96590372907 1.67
"81" 1969.96607876712 2.08
"82" 1969.96611491629 2.35
"83" 1969.96635273973 4.63
"84" 1969.96648401827 5
"85" 1969.96666476408 4.45
"86" 1969.96700913242 3.72
"87" 1969.96772450533 2.86
"88" 1969.96892313546 2.52
"89" 1969.96922564688 2.21
"90" 1969.97050799087 2.08
"91" 1969.9712347793 1.67
"92" 1969.97207762557 1.67
"93" 1969.97390791476 1.41
"94" 1969.97647640791 1.19
"95" 1969.97717465753 1.19
"96" 1969.97744482496 1.48
"97" 1969.97759322679 1.81
"98" 1969.97777777778 2.52
"99" 1969.97800418569 2.86
"100" 1969.97817351598 3.36
"101" 1969.97840182648 3.36
"102" 1969.97885464231 3.02
"103" 1969.97957762557 3.36
"104" 1969.98008751903 2.86
"105" 1969.98180745814 2.21
"106" 1969.98354071537 2.21
"107" 1969.98809550989 1.67
"108" 1969.98835806697 1.41
"109" 1969.99616057839 1
"110" 1969.99913622527 1
"111" 1969.99941590563 0.91
"112" 1970.00182458143 0.91
"113" 1970.00220129376 0.823
"114" 1970.00466133942 0.823
"115" 1970.00495053272 0.742
"116" 1970.00726788432 0.742
"117" 1970.00761035008 0.661
"118" 1970.0125304414 0.661
"119" 1970.01305745814 0.855
"120" 1970.01327815830 0.91
"121" 1970.01454337900 0.91
"122" 1970.01506468798 1.41
"123" 1970.01609589041 1.09
"124" 1970.01883942161 0.823
"125" 1970.02185312024 0.661
"126" 1970.02746765601 0.742
"127" 1970.03061643836 0.855
"128" 1970.03269977169 0.91
"129" 1970.03296042618 1.48
"130" 1970.03312024353 1.94
"131" 1970.03330859970 1.94
"132" 1970.03362442922 1.67
"133" 1970.03425989346 1.41
"134" 1970.03482686454 1.41
"135" 1970.0349695586 1.3
"136" 1970.03751712329 1.3
"137" 1970.03766552511 1.19
"138" 1970.04032534247 1.14
"139" 1970.04041286149 1.09
"140" 1970.04134893455 1.19
"141" 1970.04160007610 1.48
"142" 1970.04170662100 1.81
"143" 1970.04211377473 1.81
"144" 1970.04308028919 1.53
"145" 1970.04575913242 1.48
"146" 1970.04871194825 1.3
"147" 1970.05565829528 1.14
"148" 1970.06705098935 0.91
"149" 1970.06723554033 0.823
"150" 1970.07588470320 0.823
"151" 1970.07607115677 0.742
"152" 1970.08198630137 0.661
"153" 1970.08263888889 0.855
"154" 1970.08339421613 1
"155" 1970.08399353120 1
"156" 1970.08451103501 1.19
"157" 1970.08493340944 1.81
"158" 1970.08553082192 1.81
"159" 1970.08597983257 1.94
"160" 1970.08638508371 1.67
"161" 1970.08905631659 1.41
"162" 1970.09135273973 1.48
"163" 1970.09211757991 3.54
"164" 1970.0924238965 4.81
"165" 1970.09265981735 4.81
"166" 1970.09332762557 4.09
"167" 1970.09476978691 3.91
"168" 1970.0950761035 5
"169" 1970.09558028919 6.09
"170" 1970.09640981735 5
"171" 1970.09868721461 4.45
"172" 1970.09913622527 5.18
"173" 1970.09976978691 4.45
"174" 1970.10399543379 3.02
"175" 1970.11119672755 2.08
"176" 1970.11178082192 2.08
"177" 1970.11214231355 3.02
"178" 1970.11268074581 2.52
"179" 1970.11502092846 2.08
"180" 1970.11551940639 2.69
"181" 1970.11578006088 6.45
"182" 1970.11592846271 8.94
"183" 1970.11627283105 6.45
"184" 1970.11647260274 5.72
"185" 1970.11703957382 4.81
"186" 1970.1186434551 4.09
"187" 1970.11997907154 4.09
"188" 1970.12276636225 3.02
"189" 1970.12545852359 2.69
"190" 1970.12691780822 2.35
"191" 1970.12983447489 1.81
"192" 1970.13014459665 1.94
"193" 1970.13380707763 1.67
"194" 1970.13440639269 2.35
"195" 1970.13504375951 2.35
"196" 1970.13566400304 2.08
"197" 1970.13844368341 1.94
"198" 1970.13854642314 2.35
"199" 1970.13896118721 4.45
"200" 1970.13994482496 5.72
"201" 1970.14046993912 5.72
"202" 1970.14087519026 5.36
"203" 1970.14118531202 5.36
"204" 1970.14150304414 6.45
"205" 1970.14165715373 7.28
"206" 1970.14211187215 7.49
"207" 1970.14333904110 6.66
"208" 1970.1436738965 7.28
"209" 1970.14467275495 8.11
"210" 1970.14482305936 7.69
"211" 1970.14609398782 6.86
"212" 1970.14637937595 7.07
"213" 1970.14688356164 7.07
"214" 1970.14768074581 6.27
"215" 1970.14840182648 5.9
"216" 1970.14927321157 6.09
"217" 1970.15040525114 5.72
"218" 1970.15080479452 6.66
"219" 1970.1514174277 10.4
"220" 1970.1523934551 8.11
"221" 1970.15300228311 7.9
"222" 1970.15342085236 7.07
"223" 1970.15377473364 7.07
"224" 1970.15430555556 6.27
"225" 1970.15530821918 6.09
"226" 1970.15564497717 5.72
"227" 1970.15974124810 3.91
"228" 1970.16558789954 2.52
"229" 1970.16881278539 2.21
"230" 1970.17296423135 1.81
"231" 1970.17315258752 1.67
"232" 1970.17569444444 1.67
"233" 1970.17590563166 1.53
"234" 1970.17888508371 1.48
"235" 1970.1812043379 1.3
"236" 1970.18138888889 1.19
"237" 1970.18948630137 1.14
"238" 1970.18956621005 1.09
"239" 1970.19060502283 1.14
"240" 1970.19128614916 1.53
"241" 1970.19229642314 1.48
"242" 1970.19239916286 1.41
"243" 1970.19619672755 1.3
"244" 1970.19674657534 1.67
"245" 1970.19878234399 1.53
"246" 1970.19942922374 2.08
"247" 1970.20150114155 1.94
"248" 1970.20163242009 1.81
"249" 1970.20218226788 1.94
"250" 1970.20534627093 1.94
"251" 1970.20723173516 1.67
"252" 1970.20789193303 1.81
"253" 1970.21179414003 1.67
"254" 1970.21207572298 2.35
"255" 1970.21247336377 3.54
"256" 1970.21294140030 3.91
"257" 1970.21327245053 4.81
"258" 1970.21357496195 4.81
"259" 1970.21444063927 4.27
"260" 1970.21549277017 4.63
"261" 1970.21702435312 4.27
"262" 1970.22268645358 3.19
"263" 1970.22650304414 3.19
"264" 1970.22855974125 3.02
"265" 1970.22892694064 4.63
"266" 1970.22909246575 4.45
"267" 1970.23161910198 3.91
"268" 1970.23567922374 3.72
"269" 1970.23590563166 4.45
"270" 1970.23619101979 5
"271" 1970.23641742770 5
"272" 1970.23703196347 4.45
"273" 1970.23905441400 4.09
"274" 1970.24475456621 3.54
"275" 1970.24496575342 2.86
"276" 1970.24518074581 2.86
"277" 1970.24546993912 2.69
"278" 1970.24858828006 2.52
"279" 1970.25514459665 2.52
"280" 1970.25531202435 2.35
"281" 1970.25791476408 2.21
"282" 1970.25906392694 2.35
"283" 1970.25958904110 2.69
"284" 1970.26132229833 2.52
"285" 1970.26312214612 2.52
"286" 1970.26455859970 2.35
"287" 1970.27122146119 2.35
"288" 1970.27811453577 1.94
"289" 1970.28179984779 1.94
"290" 1970.28230593607 2.08
"291" 1970.28238964992 2.35
"292" 1970.28305365297 5.18
"293" 1970.28346461187 8.52
"294" 1970.28441019787 6.86
"295" 1970.28588850837 5.54
"296" 1970.28769406393 4.63
"297" 1970.29168949772 3.02
"298" 1970.29677891933 2.35
"299" 1970.30041476408 2.35
"300" 1970.30068683409 3.02
"301" 1970.30826103501 2.35
"302" 1970.31125951294 2.08
"303" 1970.31520738204 1.94
"304" 1970.31869482496 1.48
"305" 1970.32165905632 1.19
"306" 1970.32404109589 1.14
"307" 1970.34112442922 0.823
"308" 1970.35657724505 0.661
"309" 1970.35680745814 1.09
"310" 1970.35700913242 1.19
"311" 1970.35806126332 1.14
"312" 1970.35880707763 1.14
"313" 1970.35899353120 1.3
"314" 1970.35952435312 1.3
"315" 1970.36071156773 1.19
"316" 1970.36432458143 0.91
"317" 1970.37178462709 0.742
"318" 1970.37201864536 1.14
"319" 1970.37235730594 1.94
"320" 1970.37283485540 1.94
"321" 1970.3747716895 1.53
"322" 1970.37997146119 1.3
"323" 1970.38454718417 1.14
"324" 1970.39865296804 0.742
"325" 1970.40186834094 0.5
"326" 1970.42411339422 0.346
"327" 1970.42428082192 0.295
"328" 1970.42518455099 0.346
"329" 1970.42693302892 0.346
"330" 1970.42707001522 0.295
"331" 1970.42899543379 0.295
"332" 1970.42916666667 0.346
"333" 1970.43630327245 0.295
"334" 1970.43645738204 0.346
"335" 1970.43781012177 0.346
"336" 1970.43797945205 0.5
"337" 1970.43813546423 0.398
"338" 1970.44194063927 0.398
"339" 1970.44208713851 0.295
"340" 1970.44540715373 0.295
"341" 1970.44625190259 0.251
"342" 1970.44781012177 0.251
"343" 1970.44801560122 0.346
"344" 1970.44876712329 0.295
"345" 1970.45567351598 0.346
"346" 1970.45585996956 0.295
"347" 1970.45958333333 0.295
"348" 1970.4598021309 0.5
"349" 1970.46002092846 0.823
"350" 1970.46013318113 0.823
"351" 1970.46058028919 0.581
"352" 1970.46087899543 0.5
"353" 1970.46117960426 0.449
"354" 1970.46159817352 0.398
"355" 1970.46172564688 0.5
"356" 1970.46216704718 1.09
"357" 1970.46273401826 0.661
"358" 1970.46419710807 0.5
"359" 1970.46721841705 0.5
"360" 1970.46743721461 1
"361" 1970.46759893455 0.742
"362" 1970.46771118721 0.823
"363" 1970.46812214612 0.823
"364" 1970.46957382040 0.581
"365" 1970.46973934551 0.5
"366" 1970.47529490107 0.398
"367" 1970.47557458143 0.346
"368" 1970.47634893455 0.346
"369" 1970.47649543379 0.295
"370" 1970.47895738204 0.346
"371" 1970.4839478691 0.295
"372" 1970.48410388128 0.251
"373" 1970.48720700152 0.211
"374" 1970.48735730594 0.171
"375" 1970.48755707763 0.171
"376" 1970.4876978691 0.251
"377" 1970.48964041096 0.251
"378" 1970.49076864536 0.295
"379" 1970.4911434551 0.5
"380" 1970.49132990868 0.661
"381" 1970.49152016743 0.661
"382" 1970.49199581431 0.5
"383" 1970.49269025875 0.5
"384" 1970.49500190259 0.398
"385" 1970.49662100457 0.398
"386" 1970.49756278539 0.449
"387" 1970.49800799087 0.398
"388" 1970.49992579909 0.346
"389" 1970.50014649924 0.398
"390" 1970.50281012177 0.398
"391" 1970.50400114155 0.346
"392" 1970.50826293760 0.346
"393" 1970.50877663623 0.251
"394" 1970.51292427702 0.211
"395" 1970.51340182648 0.251
"396" 1970.51371385084 0.211
"397" 1970.51871765601 0.171
"398" 1970.52020738204 0.295
"399" 1970.52326674277 0.211
"400" 1970.52734208524 0.171
"401" 1970.52754375951 0.139
"402" 1970.53297945205 0.139
"403" 1970.53429414003 0.13
"404" 1970.53735730594 0.114
"405" 1970.53752663623 0.13
"406" 1970.53783675799 0.171
"407" 1970.53825342466 0.251
"408" 1970.5386434551 0.251
"409" 1970.53992770167 0.211
"410" 1970.54426940639 0.171
"411" 1970.54447108067 0.139
"412" 1970.55159056317 0.139
"413" 1970.55193302892 0.171
"414" 1970.55222031963 0.139
"415" 1970.55238013699 0.211
"416" 1970.55465372907 0.251
"417" 1970.55738013699 0.211
"418" 1970.55789003044 0.171
"419" 1970.55839992390 0.139
"420" 1970.56570015221 0.139
"421" 1970.56575152207 0.13
"422" 1970.56586948250 0.114
"423" 1970.57041476408 0.114
"424" 1970.57052130898 0.13
"425" 1970.57071727549 0.171
"426" 1970.57110540335 0.139
"427" 1970.57141552511 0.139
"428" 1970.5725913242 0.13
"429" 1970.57533295282 0.114
"430" 1970.57536529680 0.13
"431" 1970.57547374429 0.211
"432" 1970.57599315069 0.211
"433" 1970.57674086758 0.251
"434" 1970.57707762557 0.251
"435" 1970.57756849315 0.211
"436" 1970.57951293760 0.171
"437" 1970.58145738204 0.139
"438" 1970.58161339422 0.211
"439" 1970.58204337900 0.171
"440" 1970.58967275495 0.139
"441" 1970.589847793 0.211
"442" 1970.59008751903 0.171
"443" 1970.59040905632 0.13
"444" 1970.59060502283 0.114
"445" 1970.59152587519 0.114
"446" 1970.59207382040 0.098
"447" 1970.60157914764 0.098
"448" 1970.60159817352 0.13
"449" 1970.60161149163 0.171
"450" 1970.60164383562 0.295
"451" 1970.60168759513 0.5
"452" 1970.60169710807 0.581
"453" 1970.60172754947 0.5
"454" 1970.60187595129 0.251
"455" 1970.60238584475 0.251
"456" 1970.60274353120 0.211
"457" 1970.60386415525 0.211
"458" 1970.60439878234 0.171
"459" 1970.60493340944 0.139
"460" 1970.60496194825 0.13
"461" 1970.6050304414 0.114
"462" 1970.60512747336 0.098
"463" 1970.6088717656 0.13
"464" 1970.60981354642 0.139
"465" 1970.61278729072 0.139
"466" 1970.61284817352 0.13
"467" 1970.61299086758 0.114
"468" 1970.61437404871 0.114
"469" 1970.61464041096 0.139
"470" 1970.61822869102 0.139
"471" 1970.61832191781 0.13
"472" 1970.61853691020 0.114
"473" 1970.61915334855 0.084
"474" 1970.61931506849 0.114
"475" 1970.62340182648 0.098
"476" 1970.62360920852 0.114
"477" 1970.6274238965 0.114
"478" 1970.62903919330 0.139
"479" 1970.62923135464 0.13
"480" 1970.62967656012 0.114
"481" 1970.63474885845 0.114
"482" 1970.63500380518 0.139
"483" 1970.6350608828 0.171
"484" 1970.63528729072 0.346
"485" 1970.63531202435 0.5
"486" 1970.63537671233 1.14
"487" 1970.63540334855 1.48
"488" 1970.63545852359 2.35
"489" 1970.63551940639 3.54
"490" 1970.63578767123 2.35
"491" 1970.63586567732 2.08
"492" 1970.63623668189 1.48
"493" 1970.63671232877 0.91
"494" 1970.63680936073 0.855
"495" 1970.63736111111 0.581
"496" 1970.63771879756 0.5
"497" 1970.63807648402 0.449
"498" 1970.64023972603 0.295
"499" 1970.64039003044 0.251
"500" 1970.64262937595 0.251
"501" 1970.64307267884 0.211
"502" 1970.64310502283 0.295
"503" 1970.64316780822 0.5
"504" 1970.64318302892 0.581
"505" 1970.64323820396 0.5
"506" 1970.64345890411 0.295
"507" 1970.64600266362 0.251
"508" 1970.64820776256 0.251
"509" 1970.65594368341 0.211
"510" 1970.6561282344 0.171
"511" 1970.66217465753 0.139
"512" 1970.66220890411 0.171
"513" 1970.66234398782 0.346
"514" 1970.66242009132 0.251
"515" 1970.66246004566 0.211
"516" 1970.66433789954 0.171
"517" 1970.66456811263 0.211
"518" 1970.66459665145 0.295
"519" 1970.66465563166 0.5
"520" 1970.66469748858 0.742
"521" 1970.66474885845 0.5
"522" 1970.66483637747 0.251
"523" 1970.66485350076 0.211
"524" 1970.66702625571 0.211
"525" 1970.6674695586 0.171
"526" 1970.67019406393 0.171
"527" 1970.67026445967 0.13
"528" 1970.67030060883 0.114
"529" 1970.67035578387 0.098
"530" 1970.67071347032 0.114
"531" 1970.67077245053 0.13
"532" 1970.67087899543 0.171
"533" 1970.68288432268 0.139
"534" 1970.68289764079 0.13
"535" 1970.68292998478 0.114
"536" 1970.68302130898 0.084
"537" 1970.68648211568 0.114
"538" 1970.68718036530 0.098
"539" 1970.68924467276 0.114
"540" 1970.68925799087 0.13
"541" 1970.68928272451 0.171
"542" 1970.68935502283 0.346
"543" 1970.68958904110 0.251
"544" 1970.68970509893 0.211
"545" 1970.69050608828 0.171
"546" 1970.69060692542 0.13
"547" 1970.69066210046 0.114
"548" 1970.69157343988 0.114
"549" 1970.69173135464 0.098
"550" 1970.69432267884 0.114
"551" 1970.69732496195 0.114
"552" 1970.70098173516 0.139
"553" 1970.70099315069 0.13
"554" 1970.70101788432 0.114
"555" 1970.70105403349 0.098
"556" 1970.70112442922 0.071
"557" 1970.70173896499 0.098
"558" 1970.70316019787 0.114
"559" 1970.70884512938 0.114
"560" 1970.70885464231 0.13
"561" 1970.70887366819 0.171
"562" 1970.70891362253 0.295
"563" 1970.70896689498 0.5
"564" 1970.70906963470 1.14
"565" 1970.70915715373 1.94
"566" 1970.70928652968 2.21
"567" 1970.70960616438 1.48
"568" 1970.7098173516 1.09
"569" 1970.71020928463 0.661
"570" 1970.71081621005 0.5
"571" 1970.71111872146 0.449
"572" 1970.71220509893 0.295
"573" 1970.71372146119 0.295
"574" 1970.71458333333 0.211
"575" 1970.71708713851 0.211
"576" 1970.71726407915 0.171
"577" 1970.71900684932 0.171
"578" 1970.71914193303 0.211
"579" 1970.71997146119 0.171
"580" 1970.72010083714 0.139
"581" 1970.72639649924 0.139
"582" 1970.72655060883 0.211
"583" 1970.72717085236 0.171
"584" 1970.73060502283 0.171
"585" 1970.73089421613 0.13
"586" 1970.73105022831 0.114
"587" 1970.7324543379 0.098
"588" 1970.73857686454 0.098
"589" 1970.73862062405 0.13
"590" 1970.73865487062 0.171
"591" 1970.73870624049 0.251
"592" 1970.73891742770 0.171
"593" 1970.73902397260 0.139
"594" 1970.74237442922 0.139
"595" 1970.74239916286 0.13
"596" 1970.7424543379 0.114
"597" 1970.74253614916 0.098
"598" 1970.74365106545 0.098
"599" 1970.74393835616 0.114
"600" 1970.75055555556 0.098
"601" 1970.75199200913 0.13
"602" 1970.75224505327 0.139
"603" 1970.75444824962 0.139
"604" 1970.75451484018 0.13
"605" 1970.75467085236 0.114
"606" 1970.75579908676 0.114
"607" 1970.75703767123 0.139
"608" 1970.75718607306 0.171
"609" 1970.75943112633 0.211
"610" 1970.76070776256 0.171
"611" 1970.76346270928 0.171
"612" 1970.76858066971 0.139
"613" 1970.76866818874 0.171
"614" 1970.76893645358 0.295
"615" 1970.76929414003 0.5
"616" 1970.76938165906 0.581
"617" 1970.76964231355 0.581
"618" 1970.76987252664 0.5
"619" 1970.77033295282 0.398
"620" 1970.77104642314 0.346
"621" 1970.77209284627 0.346
"622" 1970.77274162861 0.5
"623" 1970.77317351598 0.661
"624" 1970.77360540335 0.661
"625" 1970.77455479452 0.5
"626" 1970.77502853881 0.449
"627" 1970.77567541857 0.449
"628" 1970.77581050228 0.5
"629" 1970.77646118721 0.855
"630" 1970.77662290715 0.91
"631" 1970.77738584475 0.661
"632" 1970.77834094368 0.5
"633" 1970.78261605784 0.346
"634" 1970.78546803653 0.295
"635" 1970.78569254186 0.211
"636" 1970.79339992390 0.211
"637" 1970.79418759513 0.171
"638" 1970.80312595129 0.171
"639" 1970.80355974125 0.251
"640" 1970.80373287671 0.398
"641" 1970.80450342466 0.449
"642" 1970.80492199391 0.398
"643" 1970.8086282344 0.295
"644" 1970.81138508371 0.295
"645" 1970.81813926941 0.211
"646" 1970.83125380518 0.211
"647" 1970.83145738204 0.171
"648" 1970.83980783866 0.171
"649" 1970.84026445967 0.139
"650" 1970.84922945205 0.139
"651" 1970.84960235921 0.171
"652" 1970.85887557078 0.139
"653" 1970.85921613394 0.171
"654" 1970.86207572298 0.171
"655" 1970.86230022831 0.139
"656" 1970.8687195586 0.171
"657" 1970.86893645358 0.251
"658" 1970.86935502283 0.251
"659" 1970.86966133942 0.346
"660" 1970.87005707763 0.346
"661" 1970.87028158295 0.398
"662" 1970.871097793 0.346
"663" 1970.87182077626 0.449
"664" 1970.8724238965 0.449
"665" 1970.87262937595 0.398
"666" 1970.87513127854 0.398
"667" 1970.87539954338 0.346
"668" 1970.87838470320 0.295
"669" 1970.88086187215 0.295
"670" 1970.88162100457 0.346
"671" 1970.88466704718 0.398
"672" 1970.88526255708 0.5
"673" 1970.88645357686 0.823
"674" 1970.89036339422 0.5
"675" 1970.89352549467 0.5
"676" 1970.89472222222 1.19
"677" 1970.89565449011 0.91
"678" 1970.89703386606 0.742
"679" 1970.89738584475 0.742
"680" 1970.90385273973 0.5
"681" 1970.90816400304 0.398
"682" 1970.91449010654 0.398
"683" 1970.91461567732 0.5
"684" 1970.91511986301 1.19
"685" 1970.91638508371 0.91
"686" 1970.91664003044 0.91
"687" 1970.9175913242 0.742
"688" 1970.91961567732 0.661
"689" 1970.91972031963 0.91
"690" 1970.92005327245 1
"691" 1970.92101027397 1
"692" 1970.92130898021 1.09
"693" 1970.92421042618 0.91
"694" 1970.92460235921 1.19
"695" 1970.92474124810 1.48
"696" 1970.92508561644 2.35
"697" 1970.92546232877 3.54
"698" 1970.92626712329 4.09
"699" 1970.92753424658 3.19
"700" 1970.92777777778 2.86
"701" 1970.92918188737 2.35
"702" 1970.93026445967 2.35
"703" 1970.93092465753 2.08
"704" 1970.93466514460 1.53
"705" 1970.93566400304 1.67
"706" 1970.93684931507 1.48
"707" 1970.93989726027 1.09
"708" 1970.94878995434 0.742
"709" 1970.95235730594 0.742
"710" 1970.95279109589 1.14
"711" 1970.95293569254 1.3
"712" 1970.95320966514 1.3
"713" 1970.95370243531 1.09
"714" 1970.95487062405 1
"715" 1970.95518835616 0.91
"716" 1970.96561073059 0.661
"717" 1970.97372146119 0.581
"718" 1970.97399162861 0.5
"719" 1970.97426940639 0.581
"720" 1970.98439117199 0.5
"721" 1970.98649162861 0.449
"722" 1970.98664003044 0.5
"723" 1970.98752853881 1
"724" 1970.98766552511 0.661
"725" 1970.98814497717 0.661
"726" 1970.98853310502 0.5
"727" 1970.99353310502 0.449
"728" 1970.99538812785 0.449
"729" 1970.99582952816 0.5
"730" 1970.99639269406 0.449
"731" 1971.00274353120 0.449
"732" 1971.00308409437 0.398
"733" 1971.00330098935 0.5
"734" 1971.00373287671 0.823
"735" 1971.00447488584 1
"736" 1971.00548135464 1
"737" 1971.00563736682 1.3
"738" 1971.00605022831 1.53
"739" 1971.00682648402 1.67
"740" 1971.00717656012 2.21
"741" 1971.00794520548 2.21
"742" 1971.01095509893 1.48
"743" 1971.0126369863 1.19
"744" 1971.01321537291 1.14
"745" 1971.01679223744 0.855
"746" 1971.02187214612 0.5
"747" 1971.02302701674 0.449
"748" 1971.03172564688 0.449
"749" 1971.03251712329 0.5
"750" 1971.03308409437 0.449
"751" 1971.03454718417 0.449
"752" 1971.03549277017 0.5
"753" 1971.03738584475 0.661
"754" 1971.03772450533 0.742
"755" 1971.04284246575 0.742
"756" 1971.04339041096 0.823
"757" 1971.04560312024 0.855
"758" 1971.04599124810 1
"759" 1971.04671232877 1
"760" 1971.05061453577 0.661
"761" 1971.05253234399 0.661
"762" 1971.05283675799 1.14
"763" 1971.05319444444 1.94
"764" 1971.05345890411 1.94
"765" 1971.05477359209 1.53
"766" 1971.05511605784 1.67
"767" 1971.05693683409 1.67
"768" 1971.05856354642 1.53
"769" 1971.05915715373 3.02
"770" 1971.05936643836 3.02
"771" 1971.05972602740 2.52
"772" 1971.06031012177 2.35
"773" 1971.06264649924 1.81
"774" 1971.06415334855 1.67
"775" 1971.06453576865 2.08
"776" 1971.0651826484 1.81
"777" 1971.07011415525 1.41
"778" 1971.07235540335 1.3
"779" 1971.07282914764 1.41
"780" 1971.07389459665 1.3
"781" 1971.07484398782 1.48
"782" 1971.07520738204 2.08
"783" 1971.07543188737 2.08
"784" 1971.07675989346 1.67
"785" 1971.07791095890 1.53
"786" 1971.07921613394 1.67
"787" 1971.08152016743 1.48
"788" 1971.08580098935 1.19
"789" 1971.08623097412 1.41
"790" 1971.08678272451 1.48
"791" 1971.08687214612 1.53
"792" 1971.08899543379 1.53
"793" 1971.08946156773 1.81
"794" 1971.09271118721 1.48
"795" 1971.09446727549 1.3
"796" 1971.09906963470 1.14
"797" 1971.10243721461 0.91
"798" 1971.10845700152 0.742
"799" 1971.11973934551 0.581
"800" 1971.11997907154 0.5
"801" 1971.13484589041 0.5
"802" 1971.13525304414 0.91
"803" 1971.13546803653 0.91
"804" 1971.13618721461 0.823
"805" 1971.13644025875 1
"806" 1971.13664573820 1
"807" 1971.13720509893 1.41
"808" 1971.13762366819 1.41
"809" 1971.13859969559 1.19
"810" 1971.13930555556 1.3
"811" 1971.14032724505 1.09
"812" 1971.14152968037 1.09
"813" 1971.14662290715 0.91
"814" 1971.15510273973 0.742
"815" 1971.15531202435 0.661
"816" 1971.16164003044 0.661
"817" 1971.16555745814 0.581
"818" 1971.16592275495 0.5
"819" 1971.17513888889 0.5
"820" 1971.17585045662 0.449
"821" 1971.184847793 0.449
"822" 1971.18540525114 0.5
"823" 1971.18565449011 0.398
"824" 1971.18792998478 0.398
"825" 1971.18816400304 0.346
"826" 1971.20114155251 0.346
"827" 1971.20175228311 0.5
"828" 1971.20204908676 0.449
"829" 1971.20229642314 0.5
"830" 1971.20402968037 1.09
"831" 1971.20431316591 1.09
"832" 1971.2063413242 0.823
"833" 1971.20886225266 0.742
"834" 1971.21177891933 0.742
"835" 1971.21204337900 0.661
"836" 1971.21241818874 0.661
"837" 1971.21286339422 1.14
"838" 1971.21298515982 1.3
"839" 1971.21808599696 1
"840" 1971.21836377473 1.19
"841" 1971.21885464231 1.67
"842" 1971.22264649924 1.67
"843" 1971.22306506849 2.52
"844" 1971.22329718417 3.72
"845" 1971.22391362253 5.18
"846" 1971.22407534247 5.18
"847" 1971.22422184170 5.72
"848" 1971.22592275495 4.81
"849" 1971.22658295282 3.91
"850" 1971.22702054795 4.09
"851" 1971.23129756469 2.35
"852" 1971.23219368341 2.21
"853" 1971.23287861492 2.35
"854" 1971.23375190259 2.08
"855" 1971.23410578387 2.35
"856" 1971.23536910198 2.35
"857" 1971.23680745814 2.08
"858" 1971.23714231355 2.35
"859" 1971.23915525114 2.08
"860" 1971.24218036530 1.81
"861" 1971.24243150685 1.67
"862" 1971.24275494673 1.67
"863" 1971.24606164384 1.48
"864" 1971.25134512938 1.09
"865" 1971.25325722983 1.09
"866" 1971.25438546423 1
"867" 1971.26244863014 0.823
"868" 1971.26292808219 1.19
"869" 1971.2635825723 0.91
"870" 1971.26606544901 0.823
"871" 1971.28060692542 0.5
"872" 1971.31075722983 0.346
"873" 1971.31145738204 0.5
"874" 1971.31172564688 0.5
"875" 1971.31213850837 0.449
"876" 1971.31259322679 0.449
"877" 1971.3126826484 0.5
